model,experiment_name,total_params,training_time,top1_accuracy,avg_sparsity,energy_reduction,val_loss
Dense Baseline,dense_baseline,27099985,66.39385962486267,0.655,0.0,1.0,2.262239456176758
BrainCodeNet,braincodeNet_full,27095381,104.89784264564514,0.475,0.9562583007812501,22.86148041481088,2.905137939453125
SNN (No Memory),SNN_NoMemory,27095381,95.60938596725464,0.475,0.5200571289062501,2.0835813181703964,2.82986328125
SNN (No Energy Reg),SNN_NoEnergyReg,27095381,105.0884222984314,0.475,0.9507958984375,20.32350898084748,3.46681396484375
